states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
New York,Cheektowaga Town,"79,178",221.0,-,24.0,83.4,113.7,"3,562.9",426.9,"3,026.1",109.9
New Jersey,Cherry Hill Township,"71,337",157.0,1.4,-,77.1,78.5,"3,152.6",379.9,"2,645.2",127.6
Wyoming,Cheyenne,"60,969",229.6,-,34.4,34.4,160.7,"3,413.2",418.2,"2,837.5",157.5
California,Chico,"87,090",323.8,1.1,52.8,109.1,160.8,"2,630.6",893.3,"1,445.6",291.7
California,Chino Hills,"76,632",83.5,-,2.6,28.7,52.2,"1,247.5",456.7,706.0,84.8
California,Chino,"79,792",364.7,1.3,11.3,65.2,287.0,"2,651.9",704.3,"1,653.0",294.5
Illinois,Cicero,"84,300",449.6,5.9,21.4,217.1,205.2,"2,634.6",843.4,"1,453.1",338.1
California,Citrus Heights,"85,112",386.5,2.3,15.3,117.5,251.4,"3,662.2",734.3,"2,369.8",558.1
New York,Clarkstown Town,"80,186",94.8,-,5.0,33.7,56.1,"1,884.4",133.4,"1,719.8",31.2
New Jersey,Clifton,"84,684",217.3,-,15.4,94.5,107.5,"1,864.6",422.7,"1,275.3",166.5
Michigan,Clinton Township,"97,001",300.0,-,39.2,59.8,201.0,"2,298.9",491.7,"1,620.6",186.6
California,Clovis,"97,828",223.9,3.1,34.8,58.3,127.8,"4,114.4",976.2,"2,744.6",393.5
Texas,College Station,"96,567",508.5,3.1,35.2,39.4,430.8,"2,483.2",596.5,"1,824.6",62.1
New York,Colonie Town,"77,853",59.1,-,-,37.2,21.8,"2,719.2",274.9,"2,372.4",71.9
California,Compton,"98,057","1,242.1",21.4,33.7,436.5,750.6,"2,446.5",585.4,"1,025.9",835.2
Arkansas,Conway,"60,700",415.2,1.6,47.8,125.2,240.5,"4,182.9",675.5,"3,341.0",166.4
Minnesota,Coon Rapids,"62,301",#N/A,1.6,#N/A,25.7,67.4,"3,077.0",311.4,"2,669.3",96.3
Iowa,Council Bluffs,"62,708","1,186.5",1.6,106.8,129.2,948.8,"6,841.2","1,546.9","4,540.1",754.3
Rhode Island,Cranston,"80,315",161.9,2.5,19.9,42.3,97.1,"2,375.6",488.1,"1,695.8",191.7
Connecticut,Danbury,"81,891",133.1,1.2,28.1,55.0,48.8,"1,907.4",350.5,"1,466.6",90.4
Florida,Davie,"94,952",388.6,5.3,24.2,77.9,281.2,"3,657.6",702.5,"2,701.4",253.8
California,Davis,"66,628",142.6,-,30.0,46.5,66.0,"2,215.3",585.3,"1,499.4",130.6
Florida,Daytona Beach,"61,861","1,155.8",6.5,37.2,289.4,822.8,"6,254.3","1,291.6","4,403.4",559.3
Michigan,Dearborn,"97,215",331.2,1.0,24.7,110.1,195.4,"3,376.0",475.2,"2,533.6",367.2
Illinois,Decatur,"76,131",462.4,7.9,34.2,139.2,281.1,"3,215.5","1,209.8","1,898.0",107.7
Florida,Deerfield Beach,"77,431",464.9,5.2,22.0,192.4,245.4,"3,174.4",767.1,"2,169.7",237.6
Florida,Delray Beach,"62,044",736.6,9.7,41.9,253.0,432.0,"4,754.7",910.6,"3,594.2",249.8
Alabama,Dothan,"66,275",481.3,7.5,45.3,150.9,277.6,"4,427.0","1,336.9","2,894.0",196.2
Minnesota,Duluth,"86,830",#N/A,2.3,#N/A,103.7,245.3,"4,446.6",739.4,"3,509.2",198.1
Minnesota,Eagan,"65,180",#N/A,-,#N/A,16.9,23.0,"2,341.2",277.7,"1,996.0",67.5
New Jersey,East Orange,"64,682",562.8,7.7,34.0,219.5,301.5,"1,801.1",539.6,739.0,522.6
Minnesota,Eden Prairie,"62,052",#N/A,-,#N/A,4.8,17.7,"1,551.9",172.4,"1,347.3",32.2
Texas,Edinburg,"80,332",444.4,1.2,36.1,62.2,344.8,"5,890.6","1,066.8","4,563.6",260.2
Oklahoma,Edmond,"83,473",101.8,2.4,14.4,24.0,61.1,"2,012.6",363.0,"1,593.3",56.3
California,Encinitas,"60,960",246.1,1.6,19.7,37.7,187.0,"2,126.0",477.4,"1,524.0",124.7
Illinois,Evanston,"74,820",304.7,4.0,5.3,105.6,189.8,"2,745.3",562.7,"2,098.4",84.2
Connecticut,Fairfield,"60,122",54.9,-,3.3,21.6,29.9,"2,163.9",384.2,"1,663.3",116.4
Massachusetts,Fall River,"89,753","1,062.9",2.2,57.9,291.9,710.8,"3,014.9",862.4,"1,848.4",304.2
Michigan,Farmington Hills,"80,316",92.1,1.2,18.7,14.9,57.3,"1,573.8",287.6,"1,129.3",156.9
Arkansas,Fayetteville,"75,387",514.7,1.3,76.9,53.1,383.4,"4,036.5",668.6,"3,191.5",176.4
Washington,Federal Way,"91,978",321.8,3.3,46.8,115.2,156.6,"5,551.3","1,026.3","3,657.4",867.6
Indiana,Fishers,"79,375",17.6,-,1.3,11.3,5.0,"1,034.3",127.2,873.1,34.0
Arizona,Flagstaff,"66,633",393.2,-,42.0,67.5,283.6,"4,253.1",363.2,"3,801.4",88.5
Texas,Flower Mound,"68,023",30.9,-,-,7.4,23.5,827.7,157.3,645.4,25.0
California,Folsom,"73,678",115.4,-,9.5,32.6,73.3,"1,733.2",319.0,"1,307.0",107.2
Florida,Fort Myers,"64,379","1,171.2",37.3,40.4,267.2,826.4,"3,644.0",787.5,"2,545.9",310.7
Arkansas,Fort Smith,"87,483",785.3,5.7,78.9,108.6,592.1,"5,453.6","1,216.2","4,028.2",209.2
Massachusetts,Framingham,"69,605",221.2,-,10.1,30.2,181.0,"1,778.6",364.9,"1,270.0",143.7
New Jersey,"Franklin Township, Somerset County","62,885",114.5,1.6,3.2,74.7,35.0,"1,828.7",562.9,"1,122.7",143.1
Tennessee,Franklin,"64,848",143.4,1.5,17.0,17.0,107.9,"1,593.0",138.8,"1,390.9",63.2
Maryland,Frederick,"66,808",570.3,1.5,38.9,158.7,371.2,"2,842.5",366.7,"2,285.7",190.1
Indiana,Gary,"80,472",904.7,46.0,69.6,341.7,447.4,"5,560.9","2,030.5","2,567.4",963.1
North Carolina,Gastonia,"72,782",618.3,1.4,39.8,215.7,361.4,"5,842.1","1,343.7","4,224.9",273.4
New Jersey,Gloucester Township,"64,898",320.5,-,10.8,63.2,246.5,"2,373.0",607.1,"1,670.3",95.5
Arizona,Goodyear,"67,033",153.7,-,17.9,35.8,100.0,"2,646.5",714.6,"1,772.3",159.6
New York,Greece Town,"96,752",133.3,-,18.6,47.5,67.2,"2,641.8",423.8,"2,138.5",79.6
Colorado,Greeley,"96,276",442.5,1.0,41.5,66.5,333.4,"3,368.4",563.0,"2,659.0",146.5
North Carolina,Greenville,"86,869",523.8,8.1,26.5,194.5,294.7,"4,426.2","1,300.8","2,988.4",137.0
South Carolina,Greenville,"60,953",835.1,1.6,34.5,170.6,628.4,"5,287.7",989.3,"3,955.5",342.9
Connecticut,Greenwich,"61,948",37.1,-,3.2,9.7,24.2,594.0,72.6,485.9,35.5
Connecticut,Hamden,"61,032",527.6,3.3,4.9,63.9,455.5,"2,264.4",321.1,"1,784.3",158.9
New Jersey,"Hamilton Township, Mercer County","89,111",211.0,-,11.2,110.0,89.8,"2,219.7",548.8,"1,522.8",148.1
Ohio,Hamilton,"62,791",592.4,4.8,141.7,250.0,195.9,"7,505.9","2,052.8","5,124.9",328.1
Indiana,Hammond,"81,010",820.9,7.4,22.2,237.0,554.3,"4,256.3","1,155.4","2,645.4",455.5
Texas,Harlingen,"67,112",403.8,6.0,34.3,92.4,271.2,"4,875.4",903.0,"3,807.1",165.4
Massachusetts,Haverhill,"61,897",675.3,3.2,19.4,84.0,568.7,"2,324.8",634.9,"1,486.3",203.6
California,Hawthorne,"85,692",743.4,8.2,30.3,358.3,346.6,"2,545.2",671.0,"1,328.0",546.1
California,Hemet,"81,213",499.9,1.2,25.9,179.8,293.1,"4,292.4","1,295.4","2,407.3",589.8
California,Hesperia,"92,383",435.1,6.5,18.4,74.7,335.6,"2,708.3",992.6,"1,282.7",433.0
Oregon,Hillsboro,"94,119",191.2,2.1,36.1,55.2,97.7,"2,288.6",343.2,"1,823.2",122.2
Florida,Homestead,"62,785","1,664.4",6.4,52.6,501.7,"1,103.8","5,122.2","1,396.8","3,426.0",299.4
Alabama,Hoover,"82,332",104.5,2.4,15.8,55.9,30.4,"2,647.8",477.3,"2,067.2",103.2
California,Indio,"78,501",573.2,2.5,28.0,194.9,347.8,"3,555.4","1,065.0","1,867.5",622.9
Iowa,Iowa City,"69,214",267.3,1.4,41.9,44.8,179.2,"2,661.3",559.1,"2,014.0",88.1
Tennessee,Jackson,"65,725","1,478.9",16.7,33.5,290.6,"1,138.1","4,938.8","1,478.9","3,254.5",205.4
Wisconsin,Janesville,"63,642",281.3,3.1,33.0,55.0,190.1,"3,870.1",532.7,"3,235.3",102.1
Georgia,Johns Creek,"80,037",53.7,-,3.7,20.0,30.0,657.2,129.9,507.3,20.0
Tennessee,Johnson City,"64,342",495.8,1.6,21.8,79.3,393.2,"4,468.3",839.3,"3,478.3",150.8
Arkansas,Jonesboro,"68,807",428.7,5.8,30.5,113.4,279.0,"4,588.2","1,694.6","2,745.4",148.2
California,Jurupa Valley,"97,577",319.7,1.0,12.3,95.3,211.1,"3,252.8",749.2,"1,823.2",680.5
Michigan,Kalamazoo,"74,797",878.4,12.0,102.9,220.6,542.8,"4,171.3","1,116.4","2,854.4",200.5
Louisiana,Kenner,"67,110",207.1,3.0,17.9,90.9,95.4,"3,738.6",576.7,"2,939.9",222.0
Washington,Kennewick,"76,971",297.5,1.3,42.9,45.5,207.9,"3,081.7",584.6,"2,332.0",165.0
Wisconsin,Kenosha,"99,993",274.0,1.0,36.0,105.0,132.0,"2,999.2",707.0,"2,194.2",98.0
Florida,Kissimmee,"62,183",905.4,3.2,54.7,194.6,652.9,"5,004.6","1,321.9","3,457.5",225.1
California,La Habra,"61,731",238.1,3.2,11.3,72.9,150.7,"1,862.9",413.1,"1,278.1",171.7
Indiana,Lafayette,"68,160",597.1,1.5,52.8,101.2,441.6,"4,831.3","1,046.1","3,494.7",290.5
California,Laguna Niguel,"64,533",72.8,-,9.3,24.8,38.7,"1,183.9",291.3,838.3,54.2
California,Lake Forest,"79,166",135.2,-,10.1,25.3,99.8,"1,374.3",286.7,"1,008.0",79.6
Florida,Lakeland,"99,934",465.3,10.0,33.0,144.1,278.2,"5,219.4","1,296.9","3,737.5",185.1
New Jersey,Lakewood Township,"93,742",117.3,2.1,1.1,49.1,65.1,"1,176.6",292.3,837.4,46.9
California,Lakewood,"81,382",278.9,1.2,16.0,125.3,136.4,"2,533.7",455.9,"1,696.9",380.9
Pennsylvania,Lancaster,"60,155",773.0,11.6,61.5,345.8,354.1,"4,820.9",729.8,"3,908.2",182.9
Florida,Largo,"78,783",500.1,1.3,54.6,144.7,299.6,"3,956.4",728.6,"3,062.8",165.0
New Mexico,Las Cruces,"99,824",394.7,5.0,56.1,70.1,263.5,"4,426.8",992.7,"3,219.7",214.4
Florida,Lauderhill,"69,046",850.2,11.6,27.5,350.5,460.6,"4,249.3","1,793.0","2,188.4",267.9
Kansas,Lawrence,"89,180",414.9,-,58.3,59.4,297.2,"4,481.9",677.3,"3,577.0",227.6
Massachusetts,Lawrence,"77,661","1,010.8",2.6,32.2,287.1,688.9,"2,530.2",690.2,956.7,883.3
Oklahoma,Lawton,"98,781",931.4,13.2,38.5,175.1,704.6,"5,272.3","1,579.3","3,390.3",302.7
Utah,Layton,"69,420",121.0,-,47.5,10.1,63.4,"2,748.5",469.6,"2,179.5",99.4
Texas,League City,"86,127",91.7,-,18.6,32.5,40.6,"2,013.3",347.2,"1,586.0",80.1
Missouri,Lee's Summit,"91,840",118.7,-,14.2,26.1,78.4,"2,316.0",286.4,"1,912.0",117.6
California,Livermore,"82,800",363.5,-,18.1,38.6,306.8,"2,180.0",374.4,"1,593.0",212.6
Michigan,Livonia,"96,028",152.0,3.1,19.8,33.3,95.8,"2,211.9",336.4,"1,667.2",208.3
California,Lodi,"63,718",439.4,3.1,18.8,135.0,282.5,"4,078.9","1,183.3","2,366.7",528.9
Colorado,Longmont,"88,925",211.4,-,12.4,33.7,165.3,"2,439.1",403.7,"1,917.3",118.1
Texas,Longview,"82,554",560.8,8.5,33.9,158.7,359.8,"5,102.1","1,150.8","3,568.6",382.8
Ohio,Lorain,"64,148",506.6,6.2,53.0,212.0,235.4,"5,039.9","1,942.4","2,913.6",183.9
Colorado,Loveland,"69,147",209.7,-,31.8,31.8,146.1,"2,600.3",328.3,"2,205.4",66.5
Virginia,Lynchburg,"77,347",345.2,3.9,44.0,59.5,237.9,"2,706.0",471.9,"2,144.9",89.2
Massachusetts,Lynn,"91,846",820.9,2.2,52.3,185.1,581.4,"2,818.8",760.0,"1,757.3",301.6
California,Lynwood,"70,908",763.0,12.7,33.8,297.6,418.9,"1,936.3",493.6,709.4,733.3
Georgia,Macon,"92,836",628.0,22.6,44.2,260.7,300.5,"7,216.0","1,969.1","4,708.3",538.6
California,Madera,"62,796",742.1,3.2,30.3,181.5,527.1,"2,581.4","1,039.9",990.5,551.0
Massachusetts,Malden,"60,605",462.0,1.7,31.4,123.8,305.3,"1,985.0",463.7,"1,310.1",211.2
California,Manteca,"68,887",384.7,-,16.0,120.5,248.2,"3,891.9",659.1,"2,676.8",556.0
Minnesota,Maple Grove,"62,840",#N/A,-,#N/A,17.5,20.7,"2,036.9",251.4,"1,745.7",39.8
Washington,Marysville,"61,381",189.0,3.3,26.1,58.7,101.0,"2,882.0",648.4,"1,906.1",327.5
Oregon,Medford,"76,037",558.9,2.6,51.3,84.2,420.8,"5,810.3",627.3,"4,950.2",232.8
Florida,Melbourne,"77,133",853.1,7.8,62.2,172.4,610.6,"4,374.3",840.1,"3,379.9",154.3
California,Menifee,"80,047",108.7,1.2,5.0,30.0,72.5,"2,426.1",633.4,"1,385.4",407.3
California,Merced,"80,976","1,000.3",11.1,30.9,265.5,692.8,"5,076.8","1,179.4","3,360.3",537.2
Connecticut,Meriden,"60,934",364.3,8.2,41.0,124.7,190.4,"2,973.7",690.9,"2,007.1",275.7
Idaho,Meridian,"77,270",119.1,-,16.8,11.6,90.6,"1,591.8",284.7,"1,281.2",25.9
Florida,Miami Beach,"91,066","1,033.3",5.5,46.1,446.9,534.8,"9,913.7","1,150.8","8,275.3",487.6
New Jersey,Middletown Township,"66,919",67.2,1.5,9.0,12.0,44.8,"1,092.4",240.6,829.4,22.4
California,Milpitas,"68,433",118.4,1.5,16.1,49.7,51.1,"2,956.2",485.1,"1,972.7",498.3
California,Mission Viejo,"95,599",76.4,-,3.1,29.3,43.9,"1,252.1",225.9,979.1,47.1
Texas,Mission,"80,557",129.1,3.7,7.4,57.1,60.8,"2,942.0",525.1,"2,219.5",197.4
Montana,Missoula,"67,758",326.2,-,36.9,48.7,240.6,"4,488.0",557.9,"3,775.2",155.0
Texas,Missouri City,"70,819",121.4,-,11.3,48.0,62.1,"1,241.2",309.2,865.6,66.4
California,Montebello,"63,538",229.8,4.7,6.3,105.4,113.3,"2,793.6","1,130.0",978.9,684.6
California,Monterey Park,"61,270",122.4,6.5,1.6,68.5,45.7,"1,668.0",406.4,899.3,362.3
South Carolina,Mount Pleasant,"70,016",218.5,-,7.1,8.6,202.8,"1,756.7",245.7,"1,428.2",82.8
New York,Mount Vernon,"68,146",899.5,14.7,20.5,330.2,534.1,"1,973.7",475.4,"1,300.1",198.1
California,Mountain View,"75,933",204.1,-,6.6,44.8,152.8,"1,868.8",234.4,"1,484.2",150.1
Indiana,Muncie,"70,300",367.0,1.4,12.8,140.8,211.9,"4,173.5",981.5,"2,903.3",288.8
Idaho,Nampa,"83,316",243.7,2.4,52.8,24.0,164.4,"2,616.5",612.1,"1,908.4",96.0
California,Napa,"78,589",274.8,2.5,21.6,49.6,201.0,"2,090.6",444.1,"1,365.3",281.2
New Hampshire,Nashua,"86,870",234.8,-,42.6,55.3,137.0,"2,717.9",431.7,"2,189.5",96.7
Massachusetts,New Bedford,"96,031","1,072.6",2.1,56.2,283.2,731.0,"3,311.4",967.4,"2,030.6",313.4
Texas,New Braunfels,"60,482",190.1,1.7,31.4,44.6,112.4,"3,488.6",496.0,"2,840.5",152.1
Connecticut,New Britain,"73,458",431.5,4.1,6.8,243.7,177.0,"3,971.0","1,055.0","2,381.0",535.0
New York,New Rochelle,"78,025",232.0,-,3.8,116.6,111.5,"1,789.2",230.7,"1,475.2",83.3
California,Newport Beach,"87,286",115.7,1.1,12.6,30.9,71.0,"2,464.3",509.8,"1,845.7",108.8
Massachusetts,Newton,"86,710",87.6,-,5.8,19.6,62.3,"1,031.0",213.4,799.2,18.5
New Jersey,North Bergen Township,"61,747",144.1,3.2,11.3,58.3,71.3,"1,183.9",200.8,803.3,179.8
Arkansas,North Little Rock,"63,125",711.3,12.7,14.3,280.4,404.0,"8,666.9","1,907.3","6,168.7",590.9
Florida,North Miami,"60,964",854.6,4.9,34.4,351.0,464.2,"4,876.6","1,286.0","3,100.2",490.5
Texas,North Richland Hills,"65,750",258.6,1.5,27.4,35.0,194.7,"2,390.9",457.8,"1,817.5",115.6
Pennsylvania,Northern York Regional,"66,974",98.5,3.0,4.5,20.9,70.2,"1,736.5",150.8,"1,523.0",62.7
Connecticut,Norwalk,"86,693",313.8,3.5,10.4,78.4,221.5,"1,975.9",288.4,"1,559.5",128.0
Missouri,O'Fallon,"80,670",91.7,2.5,6.2,5.0,78.1,"1,544.6",155.0,"1,363.6",26.0
Utah,Ogden,"85,083",414.9,2.4,29.4,112.8,270.3,"4,702.5",862.7,"3,585.9",253.9
New Jersey,Old Bridge Township,"66,057",84.8,3.0,3.0,22.7,56.0,"1,380.6",216.5,"1,074.8",89.3
Utah,Orem,"91,953",44.6,2.2,12.0,22.8,7.6,"2,357.7",220.8,"2,052.1",84.8
Wisconsin,Oshkosh,"66,514",287.2,-,19.5,27.1,240.6,"2,588.9",511.2,"2,022.1",55.6
Illinois,Palatine,"68,890",42.1,1.5,8.7,11.6,20.3,"1,293.4",47.9,"1,215.0",30.5
California,Palo Alto,"66,019",80.3,-,6.1,39.4,34.8,"2,134.2",495.3,"1,566.2",72.7
Ohio,Parma,"80,963",69.2,-,4.9,17.3,46.9,557.0,58.1,491.6,7.4
Washington,Pasco,"63,806",304.0,1.6,20.4,64.3,217.8,"2,606.3",656.7,"1,686.4",263.3
New Jersey,Passaic,"70,237",730.4,8.5,2.8,330.3,388.7,"2,077.3",625.0,"1,228.7",223.5
Rhode Island,Pawtucket,"71,085",405.1,5.6,49.2,113.9,236.3,"3,445.2",955.2,"1,959.6",530.4
Texas,Pearland,"94,702",129.9,1.1,19.0,29.6,80.3,"1,851.1",292.5,"1,470.9",87.6
California,Perris,"70,616",339.9,4.2,8.5,133.1,194.0,"2,946.9",691.1,"1,583.2",672.7
Texas,Pharr,"73,599",366.9,-,19.0,59.8,288.0,"3,157.7",750.0,"2,212.0",195.7
California,Pico Rivera,"63,988",407.9,1.6,9.4,143.8,253.2,"2,781.8",545.4,"1,661.2",575.1
California,Pittsburg,"64,890",234.2,4.6,9.2,127.9,92.5,"3,247.0","1,141.9","1,269.8",835.3
Florida,Plantation,"87,705",317.0,4.6,12.5,144.8,155.1,"3,925.7",800.4,"2,909.8",215.5
California,Pleasanton,"71,875",68.2,1.4,5.6,25.0,36.2,"1,779.5",229.6,"1,384.3",165.6
Minnesota,Plymouth,"72,020",#N/A,-,#N/A,19.4,26.4,"1,663.4",358.2,"1,262.1",43.0
Maine,Portland,"66,413",260.5,1.5,49.7,123.5,85.8,"3,963.1",618.9,"3,220.8",123.5
Virginia,Portsmouth,"96,739",476.5,11.4,42.4,188.1,234.7,"4,983.5","1,259.1","3,506.3",218.1
Massachusetts,Quincy,"93,736",427.8,-,33.1,89.6,305.1,"1,657.8",528.1,"1,006.0",123.8
Wisconsin,Racine,"79,055",473.1,5.1,39.2,266.9,161.9,"4,023.8","1,392.7","2,466.6",164.4
New York,Ramapo Town,"85,448",93.6,-,5.9,15.2,72.6,837.9,160.3,658.9,18.7
California,Rancho Cordova,"66,214",593.5,13.6,42.3,169.1,368.5,"3,182.1",635.8,"2,060.0",486.3
South Dakota,Rapid City,"69,979",607.3,5.7,158.6,78.6,364.4,"5,080.1",844.5,"3,906.9",328.7
Pennsylvania,Reading,"88,557",935.0,16.9,49.7,431.4,437.0,"4,078.7","1,634.0","1,839.5",605.3
California,Redding,"90,974",774.9,3.3,72.5,144.0,555.1,"4,814.6","1,195.9","3,066.8",551.8
California,Redlands,"70,399",313.9,2.8,21.3,106.5,183.2,"4,250.1",863.6,"2,818.2",568.2
California,Redondo Beach,"67,856",280.0,5.9,8.8,75.2,190.1,"2,352.0",392.0,"1,802.3",157.7
California,Redwood City,"78,466",265.1,-,16.6,112.2,136.4,"2,294.0",670.4,"1,428.6",195.0
Washington,Renton,"93,722",302.0,2.1,28.8,122.7,148.3,"4,867.6",957.1,"3,252.2",658.3
New Mexico,Rio Rancho,"89,462",225.8,2.2,25.7,23.5,174.4,"2,128.3",406.9,"1,548.1",173.3
Virginia,Roanoke,"97,780",554.3,9.2,40.9,144.2,360.0,"4,879.3",961.3,"3,664.3",253.6
South Carolina,Rock Hill,"68,064",656.7,11.8,52.9,164.6,427.5,"3,783.2",592.1,"2,950.2",240.9
Georgia,Roswell,"92,141",143.3,1.1,7.6,68.4,66.2,"1,867.8",433.0,"1,332.7",102.0
California,San Clemente,"65,089",115.2,-,9.2,36.9,69.1,"1,289.0",268.9,926.4,93.7
California,San Leandro,"86,869",503.1,2.3,17.3,312.0,171.5,"4,126.9",804.7,"2,410.5",911.7
California,San Marcos,"85,810",264.5,2.3,12.8,66.4,183.0,"1,750.4",426.5,"1,057.0",266.9
California,San Mateo,"99,303",262.8,-,13.1,81.6,168.2,"1,889.2",287.0,"1,458.2",144.0
California,San Ramon,"74,013",60.8,-,4.1,17.6,39.2,"1,148.4",197.3,855.3,95.9
Georgia,Sandy Springs,"97,890",191.0,3.1,5.1,100.1,82.7,"2,809.3",724.3,"1,911.3",173.7
Utah,Sandy,"90,405",162.6,2.2,26.5,38.7,95.1,"2,945.6",501.1,"2,287.5",157.1
California,Santa Barbara,"89,871",403.9,-,59.0,105.7,239.2,"3,466.1",620.9,"2,697.2",148.0
California,Santa Cruz,"60,902",711.0,4.9,55.8,136.3,513.9,"5,886.5",865.3,"4,587.7",433.5
New Mexico,Santa Fe,"68,751",481.4,2.9,21.8,158.5,298.2,"5,668.3","2,773.8","2,641.4",253.1
California,Santa Monica,"91,215",433.0,2.2,25.2,165.5,240.1,"3,725.3",642.4,"2,887.7",195.1
Illinois,Schaumburg,"74,585",91.2,-,17.4,24.1,49.6,"3,334.5",266.8,"2,984.5",83.1
New York,Schenectady,"66,631",939.5,10.5,48.0,298.7,582.3,"4,244.3","1,215.7","2,815.5",213.1
Pennsylvania,Scranton,"76,118",331.1,-,30.2,169.5,131.4,"3,354.0",842.1,"2,359.5",152.4
Kansas,Shawnee,"63,542",133.8,-,17.3,18.9,97.6,"1,668.2",239.2,"1,210.2",218.8
