states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Massachusetts,Billerica,"41,016",136.5,2.4,24.4,17.1,92.6,1141,217,868,56.1
Mississippi,Biloxi,"45,037",417.4,2.2,66.6,188.7,159.9,5033.6,1625.3,3153,255.3
New York,Binghamton,"47,250",666.7,6.3,31.7,171.4,457.1,4943.9,1181,3665.6,97.4
Virginia,Blacksburg,"43,070",90.6,0,27.9,25.5,37.1,1102.9,185.7,875.3,41.8
Minnesota,Blaine,"57,953",#N/A,0,#N/A,19,50,3316.5,345.1,2874.7,96.6
Michigan,Bloomfield Township,"41,367",53.2,2.4,4.8,9.7,36.3,1092.7,256.2,795.3,41.1
New Jersey,Bloomfield,"47,620",264.6,2.1,2.1,153.3,107.1,2286.9,552.3,1373.4,361.2
Missouri,Blue Springs,"52,848",242.2,7.6,22.7,37.8,174.1,3343.6,492,2607.5,244.1
Ohio,Boardman,"40,608",105.9,2.5,14.8,76.3,12.3,4181.4,672.3,3376.2,133
Utah,Bountiful,"43,888",84.3,2.3,38.7,4.6,38.7,2141.8,325.8,1704.3,111.6
Maryland,Bowie,"55,765",141.7,1.8,0,68.1,71.7,1624.7,313.8,1215.8,95
Kentucky,Bowling Green,"59,043",320.1,6.8,61,127,125.3,5123.4,926.4,3932.7,264.2
Florida,Bradenton,"50,878",670.2,7.9,45.2,184.8,432.4,3982.1,1004.4,2830.3,147.4
California,Brea,"40,253",183.8,0,5,57.1,121.7,3209.7,474.5,2613.5,121.7
California,Brentwood,"52,811",187.5,1.9,7.6,79.5,98.5,2243.9,454.5,1581.1,208.3
New Jersey,Bridgewater Township,"44,884",29,0,8.9,11.1,8.9,1459.3,189.4,1236.5,33.4
Pennsylvania,Bristol Township,"54,796",204.4,0,16.4,133.2,54.7,3146.2,662.5,2292.1,191.6
Massachusetts,Brookline,"59,658",137.5,0,6.7,52,78.8,1346,248.1,1067.8,30.2
Colorado,Broomfield,"58,145",51.6,1.7,12,10.3,27.5,2086.2,154.8,1850.5,80.8
Arizona,Buckeye,"52,213",103.4,5.7,1.9,21.1,74.7,2627.7,716.3,1769.7,141.7
Illinois,Buffalo Grove,"41,687",12,0,0,7.2,4.8,892.4,88.8,798.8,4.8
Arizona,Bullhead City,"40,277",213.5,12.4,0,64.6,136.6,4037,819.3,2967,250.8
North Carolina,Burlington,"51,430",789.4,3.9,33.1,204.2,548.3,5428.7,1304.7,3884.9,239.2
Idaho,Caldwell,"47,223",256.2,2.1,14.8,14.8,224.5,2437.4,563.3,1772.4,101.6
California,Campbell,"40,339",223.1,0,44.6,79.3,99.2,4087.9,919.7,2734.3,433.8
Illinois,Carol Stream,"40,008",90,0,7.5,15,67.5,1199.8,175,987.3,37.5
Arizona,Casa Grande,"50,132",420.9,6,8,91.8,315.2,5699,1530,3857.8,311.2
Wyoming,Casper,"56,801",151.4,5.3,3.5,21.1,121.5,3464.7,639.1,2642.6,183.1
Colorado,Castle Rock,"50,038",89.9,2,24,14,50,1331,203.8,1075.2,52
California,Cathedral City,"52,867",385.9,3.8,18.9,128.6,234.6,2981.1,1184.1,1235.2,561.8
Texas,Cedar Hill,"46,633",227.3,0,23.6,81.5,122.2,3529.7,787,2560.4,182.3
Texas,Cedar Park,"52,051",209.4,0,21.1,17.3,171,1469.7,178.7,1254.5,36.5
California,Ceres,"46,167",396.4,0,32.5,119.1,244.8,4202.1,853.4,2566.8,781.9
California,Cerritos,"49,856",240.7,0,14,134.4,92.3,3750.8,884.5,2513.2,353
North Carolina,Chapel Hill,"58,586",148.5,3.4,17.1,51.2,76.8,2548.4,771.5,1654,122.9
Virginia,Charlottesville,"43,991",450.1,4.5,38.6,113.7,293.2,3414.3,368.3,2832.4,213.7
Michigan,Chesterfield Township,"43,474",278.3,0,16.1,32.2,230,2044.9,296.7,1640.1,108.1
Missouri,Chesterfield,"47,560",48.4,0,4.2,14.7,29.4,1587.5,143,1402.4,42.1
Massachusetts,Chicopee,"55,825",462.2,0,48.4,129,284.8,3007.6,1135.7,1657,215
Ohio,Cleveland Heights,"45,761",367.1,0,21.9,240.4,104.9,3601.3,666.5,2768.7,166.1
Tennessee,Cleveland,"42,068",881.9,0,68.9,92.7,720.3,5289.1,946.1,4162.3,180.7
California,Coachella,"42,034",630.4,11.9,21.4,159.4,437.7,3680.4,1008.7,1855.6,816
Florida,Coconut Creek,"54,651",195.8,1.8,18.3,58.6,117.1,2967.9,494,2314.7,159.2
Idaho,Coeur d'Alene,"45,267",574.4,0,57.4,30.9,486,4369.6,952.1,3081.7,335.8
Ohio,Colerain Township,"58,345",27.4,0,0,0,27.4,2668.6,270.8,2396.1,1.7
Tennessee,Collierville,"44,690",172.3,0,11.2,15.7,145.4,1984.8,181.2,1761,42.5
California,Colton,"53,431",353.7,0,18.7,157.2,177.8,3569.1,984.4,1922.1,662.5
Indiana,Columbus,"44,817",185.2,2.2,26.8,49.1,107.1,4931.2,584.6,3944.9,401.6
Colorado,Commerce City,"47,590",357.2,14.7,56.7,35.7,250.1,2983.8,619.9,2103.4,260.6
New Hampshire,Concord,"42,815",214.9,0,51.4,44.4,119.1,2970.9,425.1,2482.8,63.1
Texas,Conroe,"59,856",369.2,3.3,21.7,123.6,220.5,3443.3,746.8,2507.7,188.8
Texas,Coppell,"40,053",67.4,0,7.5,10,49.9,1655.3,322.1,1295.8,37.5
Florida,Coral Gables,"48,435",163.1,6.2,8.3,45.4,103.2,4701.1,844.4,3627.5,229.2
Oregon,Corvallis,"55,062",121.7,1.8,20,27.2,72.6,2575.3,426.8,2094,54.5
California,Covina,"48,588",310.8,4.1,26.8,113.2,166.7,3398,808.8,2202.2,386.9
Illinois,Crystal Lake,"40,785",152,0,17.2,24.5,110.3,1971.3,149.6,1782.5,39.2
California,Cupertino,"59,769",97,0,10,38.5,48.5,1333.5,292.8,952,88.7
Florida,Cutler Bay,"41,799",296.7,2.4,12,83.7,198.6,4440.3,574.2,3638.8,227.3
Ohio,Cuyahoga Falls,"49,470",131.4,0,34.4,26.3,70.7,2575.3,464.9,1989.1,121.3
California,Cypress,"48,976",114.3,0,4.1,34.7,75.5,2078.6,373.7,1574.2,130.7
California,Danville,"43,121",37.1,0,0,4.6,32.5,1025,218,767.6,39.4
Virginia,Danville,"43,324",311.6,6.9,34.6,124.6,145.4,4487.1,974.1,3409.2,103.9
Illinois,De Kalb,"43,722",448.3,0,77.8,64,306.5,2982.5,478,2449.6,54.9
Michigan,Dearborn Heights,"57,228",337.2,5.2,26.2,75.1,230.7,2201.7,655.3,1163.8,382.7
Alabama,Decatur,"56,126",427.6,3.6,16,142.5,265.5,5190.1,1462.8,3499.3,228.1
California,Delano,"54,318",504.4,0,11,97.6,395.8,2645.5,1003.4,1016.2,625.9
Illinois,Des Plaines,"58,644",110.8,0,6.8,22.2,81.8,1604.6,233.6,1290.8,80.1
Texas,Desoto,"50,795",259.9,2,21.7,84.7,151.6,3508.2,1224.5,2051.4,232.3
California,Diamond Bar,"56,470",97.4,0,1.8,30.1,65.5,1685.9,626.9,929.7,129.3
Florida,Doral,"47,427",177.1,0,10.5,33.7,132.8,4982.4,493.4,4151.6,337.4
Illinois,Downers Grove,"48,185",60.2,0,8.3,24.9,27,2062.9,325.8,1699.7,37.4
Utah,Draper,"43,600",98.6,2.3,13.8,9.2,73.4,1986.2,350.9,1552.8,82.6
California,Dublin,"47,004",178.7,0,8.5,42.5,127.6,1555.2,329.8,1110.5,114.9
Ohio,Dublin,"42,343",35.4,2.4,2.4,18.9,11.8,1284.7,226.7,1036.8,21.3
Iowa,Dubuque,"58,460",219,3.4,34.2,37.6,143.7,#N/A,#N/A,1984.3,78.7
Georgia,Dunwoody,"47,308",95.1,2.1,8.5,59.2,25.4,4073.3,572.8,3263.7,236.7
New Jersey,East Brunswick Township,"48,009",52.1,0,0,22.9,29.2,1789.2,258.3,1491.4,39.6
Connecticut,East Hartford,"51,431",373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9
Michigan,East Lansing,"48,701",238.2,0,34.9,39,164.3,2039,441.5,1427.1,170.4
Rhode Island,East Providence,"46,994",151.1,4.3,27.7,29.8,89.4,1774.7,306.4,1342.7,125.5
California,Eastvale,"55,439",74,0,1.8,27.1,45.1,1816.4,461.8,1156.2,198.4
Minnesota,Edina,"48,932",#N/A,0,#N/A,10.2,16.3,1780,228.9,1514.3,36.8
Washington,Edmonds,"40,609",140.4,2.5,9.9,49.3,78.8,2472.4,640.3,1709,123.1
New Jersey,Egg Harbor Township,"43,501",227.6,0,6.9,55.2,165.5,1963.2,446,1443.6,73.6
California,El Centro,"43,643",380.4,4.6,16,91.7,268.1,5675.6,1681.8,3602,391.8
Illinois,Elmhurst,"44,460",72,0,11.2,36,24.7,1399,251.9,1086.4,60.7
Connecticut,Enfield,"44,806",67,0,0,26.8,40.2,1830.1,441.9,1319,69.2
Oklahoma,Enid,"49,755",329.6,4,56.3,42.2,227.1,3975.5,976.8,2817.8,180.9
Texas,Euless,"53,228",178.5,0,18.8,71.4,88.3,2983.4,608.7,2109.8,264.9
Massachusetts,Everett,"42,476",400.2,4.7,25.9,155.4,214.2,2321.3,586.2,1417.3,317.8
New Jersey,Evesham Township,"45,849",65.4,0,4.4,17.4,43.6,1491.9,248.6,1223.6,19.6
Ohio,Fairfield,"42,727",341.7,9.4,16.4,65.5,250.4,3131.5,454,2579.2,98.3
New Mexico,Farmington,"45,328",1061.2,8.8,178.7,86,787.6,4116.7,732.4,3154.8,229.4
Massachusetts,Fitchburg,"40,809",781.7,2.5,51.5,115.2,612.6,2661.2,752.3,1798.6,110.3
Missouri,Florissant,"52,243",151.2,0,5.7,55.5,90,2239.5,467,1506.4,266.1
Wisconsin,Fond du Lac,"43,319",422.4,0,80.8,25.4,316.3,2793.2,272.4,2440,80.8
Florida,Fort Pierce,"42,566",1108.9,7,72.8,321.9,707.1,5462.1,1656.3,3589.7,216.1
California,Fountain Valley,"56,674",187,1.8,12.4,30,142.9,2592,527.6,1875.6,188.8
New York,Freeport Village,"43,248",483.3,11.6,9.2,249.7,212.7,2023.2,490.2,1396.6,136.4
Texas,Galveston,"49,170",602,4.1,75.2,240,282.7,5021.4,1051.5,3644.5,325.4
California,Gardena,"59,802",479.9,0,21.7,279.3,178.9,2209,496.6,1197.3,515
Texas,Georgetown,"50,304",131.2,0,27.8,9.9,93.4,1828.9,292.2,1500.9,35.8
California,Gilroy,"50,042",317.7,6,14,135.9,161.9,3573,677.4,2432,463.6
California,Glendora,"50,903",115.9,0,15.7,53,47.1,2540.1,396.8,1999.9,143.4
Illinois,Glenview,"44,909",86.8,0,20,15.6,51.2,1066.6,256.1,788.3,22.3
North Dakota,Grand Forks,"53,839",271.2,0,44.6,42.7,183.9,2617.1,423.5,2026.4,167.2
Nebraska,Grand Island,"49,583",326.7,0,80.7,42.4,203.7,4648.8,740.2,3749.3,159.3
Colorado,Grand Junction,"59,516",423.4,3.4,87.4,48.7,284,4592,517.5,3856.1,218.4
Texas,Grapevine,"48,095",147.6,2.1,27,27,91.5,2782,341,2287.1,153.9
Montana,Great Falls,"59,360",254.4,1.7,16.8,42.1,193.7,4696.8,539.1,3938.7,219
New York,Greenburgh Town,"43,409",112.9,0,0,36.9,76,1359.2,152,1128.8,78.3
Indiana,Greenwood,"51,746",369.1,1.9,5.8,36.7,324.7,3495.9,400,2981.9,114
New Jersey,Hackensack,"43,499",#N/A,0,9.2,78.2,#N/A,2020.7,246,1616.1,158.6
Maryland,Hagerstown,"40,275",489.1,7.4,27.3,186.2,268.2,3615.1,769.7,2532.6,312.8
Texas,Haltom City,"44,024",240.8,0,15.9,61.3,163.5,3302.7,1013.1,2001.2,288.5
New York,Hamburg Town,"45,166",77.5,0,6.6,13.3,57.6,2847.3,418.5,2351.3,77.5
California,Hanford,"54,787",564,3.7,43.8,107.7,408.9,3123,615.1,2146.5,361.4
Pennsylvania,Harrisburg,"49,753",1461.2,22.1,112.6,779.9,546.7,4876.1,1232.1,3326.4,317.6
Virginia,Harrisonburg,"50,524",217.7,2,27.7,49.5,138.5,2111.9,300.8,1757.6,53.4
Mississippi,Hattiesburg,"46,726",252.5,10.7,27.8,141.2,72.8,5709.9,802.6,4671.9,235.4
Pennsylvania,Haverford Township,"48,599",51.4,0,0,16.5,35,1189.3,148.2,1012.4,28.8
New York,Hempstead Village,"54,380",853.3,16.6,16.6,380.7,439.5,1824.2,399,1169.5,255.6
Tennessee,Hendersonville,"52,781",240.6,0,11.4,24.6,204.6,1782.8,267.1,1462.6,53
North Carolina,Hickory,"40,361",656.6,7.4,54.5,200.7,393.9,6541,1176.9,4962.7,401.4
California,Highland,"54,403",544.1,7.4,9.2,169.1,358.4,2970.4,1156.2,1266.5,547.8
New Jersey,Hoboken,"50,794",295.3,0,21.7,84.7,189,1958.9,297.3,1462.8,198.8
Illinois,Hoffman Estates,"52,148",126.6,0,24.9,49.9,51.8,1361.5,247.4,1073.9,40.3
Massachusetts,Holyoke,"40,260",948.8,0,82,216.1,650.8,6232,1102.8,4855.9,273.2
New Jersey,Howell Township,"51,379",79.8,0,1.9,17.5,60.3,1241.8,332.8,885.6,23.4
North Carolina,Huntersville,"48,524",175.2,0,12.4,41.2,121.6,2165.9,375.1,1739.3,51.5
California,Huntington Park,"59,079",631.4,6.8,15.2,411.3,198,3244.8,407.9,1723.1,1113.8
Kansas,Hutchinson,"42,357",618.6,2.4,61.4,56.7,498.1,5947.1,1185.2,4469.2,292.7
Idaho,Idaho Falls,"58,037",239.5,0,44.8,22.4,172.3,2937.8,475.6,2345.1,117.2
New York,Irondequoit Town,"52,045",151.8,1.9,7.7,71.1,71.1,3137.7,637.9,2397.9,101.8
New Jersey,Irvington,"54,274",1304.5,16.6,36.9,597,654.1,3624.2,1037.3,1468.5,1118.4
New Jersey,Jackson Township,"55,400",#N/A,0,10.8,16.2,#N/A,1355.6,514.4,817.7,23.5
Missouri,Jefferson City,"43,413",601.2,4.6,27.6,89.8,479.1,3653.3,541.3,3019.8,92.1
Indiana,Jeffersonville,"45,640",955.3,4.4,4.4,78.9,867.7,4263.8,898.3,3054.3,311.1
Missouri,Joplin,"50,654",568.6,3.9,53.3,138.2,373.1,7576.9,1289.1,5764.6,523.2
Florida,Jupiter,"56,674",202.9,0,19.4,65.3,118.2,2110.3,414.7,1619.8,75.9
New Jersey,Kearny,"41,310",242.1,0,7.3,128.3,106.5,2147.2,297.7,1532.3,317.1
Texas,Keller,"41,137",36.5,0,4.9,9.7,21.9,943.2,175,736.6,31.6
Ohio,Kettering,"56,423",88.6,0,39,35.4,14.2,2288.1,561.8,1657.1,69.1
Tennessee,Kingsport,"49,639",739.3,4,62.5,100.7,572.1,5942.9,868.3,4808.7,265.9
Washington,Kirkland,"50,243",183.1,0,27.9,47.8,107.5,3292,656.8,2462,173.2
Indiana,Kokomo,"45,636",387.9,8.8,32.9,133.7,212.6,4069.2,1012.4,2835.5,221.3
Wisconsin,La Crosse,"51,851",297,7.7,40.5,73.3,175.5,3768.5,779.2,2894.8,94.5
California,La Mesa,"58,444",383.3,3.4,18.8,150.6,210.5,2963.5,600.6,2019,343.9
California,La Mirada,"49,312",198.7,4.1,8.1,40.6,146,1573.7,344.7,1020,208.9
California,La Puente,"40,479",298.9,7.4,14.8,103.8,172.9,1287.1,271.7,625,390.3
Washington,Lacey,"43,540",176.8,9.2,13.8,20.7,133.2,3362.4,542,2650.4,170
California,Lake Elsinore,"53,912",241.1,3.7,5.6,105.7,126.1,3583.6,996.1,2116.4,471.1
Arizona,Lake Havasu City,"53,513",108.4,3.7,18.7,13.1,72.9,2534,478.4,1891.1,164.4
Minnesota,Lakeville,"56,805",#N/A,0,#N/A,1.8,15.8,1330.9,216.5,1091.5,22.9
Ohio,Lakewood,"51,721",123.7,5.8,5.8,65.7,46.4,1981.8,471.8,1314.7,195.3
Washington,Lakewood,"59,416",782.6,1.7,65.6,181.8,533.5,4869.1,1203.4,3298.8,366.9
Virginia,Leesburg,"44,889",160.4,2.2,24.5,40.1,93.6,2169.8,102.5,2020.5,46.8
Utah,Lehi,"49,375",36.5,0,8.1,6.1,22.3,1322.5,255.2,1008.6,58.7
Kansas,Lenexa,"49,222",117.8,2,18.3,10.2,87.4,1917.8,188.9,1529.8,199.1
Massachusetts,Leominster,"41,262",656.8,0,31.5,109.1,516.2,3189.4,647.1,2423.5,118.8
California,Lincoln,"44,378",31.5,0,2.3,11.3,18,1140.2,457.4,570.1,112.7
New Jersey,Linden,"40,926",320.1,2.4,12.2,136.8,168.6,2372.6,395.8,1683.5,293.2
Colorado,Littleton,"43,229",129.5,9.3,46.3,34.7,39.3,2887,592.2,2107.4,187.4
Utah,Logan,"49,672",64.4,0,2,6,56.4,2107.8,414.7,1620.6,72.5
Illinois,Lombard,"43,482",124.2,2.3,4.6,41.4,75.9,2626.4,271.4,2318.2,36.8
California,Lompoc,"43,120",514.8,7,37.1,62.6,408.2,2704.1,723.6,1825.1,155.4
Pennsylvania,Lower Merion Township,"58,252",80.7,0,3.4,54.9,22.3,1775,329.6,1404.2,41.2
Pennsylvania,Lower Paxton Township,"47,578",239.6,0,25.2,94.6,119.8,2194.3,346.8,1811.8,35.7
Alabama,Madison,"43,860",205.2,0,9.1,45.6,150.5,2435,499.3,1835.4,100.3
New Jersey,Manchester Township,"43,491",46,0,0,2.3,43.7,1050.8,457.6,586.3,6.9
Connecticut,Manchester,"58,444",189.9,1.7,20.5,78.7,89,3074.7,492.8,2424.5,157.4
Ohio,Mansfield,"47,480",374.9,2.1,56.9,195.9,120.1,6750.2,2139.8,4431.3,179
Texas,Mansfield,"58,490",126.5,3.4,39.3,37.6,46.2,1566.1,288.9,1196.8,80.4
Florida,Margate,"55,010",261.8,5.5,10.9,76.3,169.1,2023.3,561.7,1350.7,110.9
Arizona,Maricopa,"44,881",129.2,2.2,20.1,26.7,80.2,1880.5,345.4,1412.6,122.5
Georgia,Marietta,"57,969",817.7,1.7,20.7,227.7,567.5,4395.5,855.6,3217.2,322.6
New Jersey,Marlboro Township,"40,430",42,0,2.5,12.4,27.2,794,207.8,561.5,24.7
Ohio,Mentor,"47,123",112.5,0,31.8,57.3,23.3,2599.6,218.6,2308.9,72.2
Mississippi,Meridian,"41,347",565.9,24.2,79.8,299.9,162,5173.3,1775.2,2965.1,432.9
Massachusetts,Methuen,"48,051",162.3,0,2.1,29.1,131.1,1810.6,295.5,1369.4,145.7
Ohio,"Miami Township, Clermont County","41,213",34,2.4,7.3,9.7,14.6,1916.9,308.2,1589.3,19.4
Pennsylvania,Middletown Township,"45,614",85.5,0,4.4,41.7,39.5,3494.5,510.8,2876.3,107.4
Connecticut,Middletown,"47,878",150.4,2.1,2.1,52.2,94,1879.8,325.8,1380.6,173.4
Ohio,Middletown,"48,959",733.3,2,63.3,167.5,500.4,8225.2,2318.3,5702.7,204.3
Michigan,Midland,"42,106",90.2,2.4,35.6,11.9,40.4,1085.4,133,950,2.4
Oklahoma,Midwest City,"55,768",529,10.8,64.6,82.5,371.2,5347.2,1409.4,3507.4,430.4
Connecticut,Milford,"52,817",87.1,0,3.8,62.5,20.8,3002.8,284,2595.8,123.1
Pennsylvania,"Millcreek Township, Erie County","53,615",93.3,3.7,11.2,41,37.3,2038.6,544.6,1438,56
Minnesota,Minnetonka,"50,758",#N/A,0,#N/A,9.9,29.6,1647,364.5,1239.2,43.3
North Dakota,Minot,"43,460",232.4,0,46,13.8,172.6,1755.6,179.5,1392.1,184.1
Indiana,Mishawaka,"48,363",330.8,6.2,45.5,113.7,165.4,5783.3,1035.9,4420.7,326.7
Illinois,Moline,"43,509",404.5,0,36.8,52.9,314.9,3112,468.9,2516.7,126.4
Louisiana,Monroe,"49,474",990.4,10.1,36.4,276.9,667,7630.3,2368.9,5103.7,157.7
Oklahoma,Moore,"56,661",135.9,1.8,8.8,35.3,90,4205.7,875.4,3002.1,328.3
New Jersey,Mount Laurel Township,"42,150",78.3,0,7.1,42.7,28.5,1686.8,320.3,1309.6,56.9
Illinois,Mount Prospect,"54,428",58.8,0,0,11,47.8,1368.8,152.5,1161.2,55.1
California,National City,"59,920",619.2,6.7,30,275.4,307.1,3109.1,610.8,1819.1,679.2
New Jersey,New Brunswick,"55,717",685.6,14.4,43.1,387.7,240.5,2711.9,999.7,1563.3,149
California,Newark,"43,539",388.2,2.3,32.2,158.5,195.2,3098.4,895.7,1862.7,339.9
Ohio,Newark,"47,787",144.4,0,41.9,67,35.6,4796.3,1048.4,3567.9,180
New York,Niagara Falls,"50,356",1229.2,6,51.6,339.6,832.1,5884.1,1489.4,4136.5,258.2
Illinois,Normal,"52,797",215.9,0,36,64.4,115.5,2473.6,501.9,1924.4,47.4
New Jersey,North Brunswick Township,"41,163",123.9,0,4.9,63.2,55.9,1771,532,1161.2,77.7
Florida,North Lauderdale,"42,352",453.3,7.1,33.1,158.2,255,2802.7,935,1700,167.6
Florida,North Miami Beach,"43,084",647.6,4.6,62.7,301.7,278.5,4614.2,1629.4,2699.4,285.5
Florida,North Port,"58,568",222,3.4,34.1,20.5,163.9,1833.8,474.7,1314.7,44.4
Connecticut,Norwich,"40,517",244.3,2.5,44.4,86.4,111.1,2376.8,676.3,1577.1,123.4
California,Novato,"52,942",181.3,0,9.4,49.1,122.8,1805.7,455.2,1178.6,171.9
Michigan,Novi,"55,623",66.5,0,7.2,16.2,43.1,1884.1,129.4,1684.6,70.1
Illinois,Oak Lawn,"56,964",144,0,15.8,54.4,73.7,1996,198.4,1702.8,94.8
Florida,Oakland Park,"42,701",784.5,0,37.5,316.2,430.9,5290.3,1637,3377,276.3
Florida,Ocala,"57,288",654.6,10.5,73.3,160.6,410.2,5406,1057.8,4243.5,104.7
Washington,Olympia,"47,729",314.3,10.5,94.3,77.5,132,4368.4,980.5,3151.1,236.8
Illinois,Orland Park,"57,043",28,1.8,1.8,7,17.5,2382.4,78.9,2275.5,28
Arizona,Oro Valley,"41,786",50.3,2.4,9.6,7.2,31.1,1624.9,227.3,1323.4,74.2
Kentucky,Owensboro,"57,751",216.4,0,48.5,77.9,90,4360.1,812.1,3338.5,209.5
Florida,Palm Beach Gardens,"49,679",151,0,22.1,60.4,68.4,3188.5,487.1,2598.7,102.7
California,Palm Desert,"50,021",207.9,0,12,98,98,4642.1,1453.4,2952.8,235.9
California,Palm Springs,"45,996",656.6,6.5,39.1,226.1,384.8,4852.6,1919.7,2417.6,515.3
California,Paramount,"54,997",443.7,5.5,12.7,234.6,190.9,2792.9,494.6,1472.8,825.5
Colorado,Parker,"47,004",125.5,0,23.4,6.4,95.7,955.2,219.1,691.4,44.7
New Jersey,Parsippany-Troy Hills Township,"53,793",72.5,3.7,9.3,26,33.5,922.1,254.7,611.6,55.8
Massachusetts,Peabody,"52,113",232.2,0,21.1,23,188.1,2114.6,297.4,1713.6,103.6
Pennsylvania,Penn Hills,"42,488",308.3,11.8,14.1,94.1,188.3,1979.4,727.3,1129.7,122.4
Florida,Pensacola,"52,909",894,13.2,56.7,168.2,655.8,5730.6,1343.8,4160,226.8
New Jersey,Perth Amboy,"51,345",453.8,1.9,17.5,185,249.3,2376.1,745.9,1384.8,245.4
California,Petaluma,"58,995",283.1,1.7,42.4,49.2,189.8,1393.3,252.6,1054.3,86.4
Texas,Pflugerville,"49,483",123.3,2,18.2,12.1,90.9,1620.8,282.9,1287.3,50.5
Arkansas,Pine Bluff,"48,522",1288.1,28.9,65.9,278.2,915,6825.8,2316.5,4138.3,371
Florida,Pinellas Park,"49,821",457.6,10,26.1,96.3,325.2,5509.7,945.4,4311.4,252.9
New Jersey,Piscataway Township,"56,593",113.1,0,1.8,37.1,74.2,929.4,235,646.7,47.7
Massachusetts,Pittsfield,"44,868",425.7,0,75.8,84.7,265.2,2598.7,829.1,1673.8,95.8
California,Placentia,"51,778",206.7,1.9,7.7,56,141,1749.8,353.4,1210.9,185.4
New Jersey,Plainfield,"50,332",711.3,11.9,27.8,327.8,343.7,2870.9,1045.1,1625.2,200.7
Idaho,Pocatello,"55,182",255.5,1.8,18.1,39.9,195.7,2721.9,474.8,2160.1,87
Texas,Port Arthur,"54,745",628.4,7.3,34.7,221,365.3,4394.9,1560,2608.5,226.5
Florida,Port Orange,"57,300",108.2,3.5,1.7,20.9,82,2493.9,525.3,1856.9,111.7
Michigan,Portage,"46,658",162.9,0,49.3,32.1,81.4,3521.4,394.4,3039.1,87.9
California,Porterville,"55,533",360.1,5.4,18,113.4,223.3,3253.9,1071.4,1825.9,356.5
New York,Poughkeepsie Town,"42,698",126.5,0,4.7,60.9,60.9,3248.4,199.1,3023.6,25.8
California,Poway,"48,968",192,0,12.3,55.1,124.6,1141.6,279.8,794.4,67.4
Arizona,Prescott,"40,420",415.6,4.9,34.6,47,329,2731.3,487.4,2184.6,59.4
Illinois,Quincy,"40,684",462.1,0,63.9,39.3,358.9,3205.2,550.6,2590.7,63.9
California,Rancho Palos Verdes,"42,335",82.7,0,2.4,14.2,66.1,1176.3,394.5,722.8,59.1
California,Rancho Santa Margarita,"49,038",55.1,0,4.1,20.4,30.6,650.5,140.7,489.4,20.4
